actor,name,year,variable,type,BirthYear,gender,age
李晨,北京爱情故事,2012,actor3,drama,1978,男,34
李晨,北京青年,2012,actor4,drama,1978,男,34
李晨,我的团长我的团,2009,actor5,drama,1978,男,31
李纯,如懿传,2018,actor4,drama,1988,女,30
李东学,后宫·甄嬛传,2011,actor4,drama,1982,男,29
李光洁,和平饭店,2018,actor3,drama,1981,男,37
李光洁,杜拉拉升职记,2010,actor2,drama,1981,男,29
李光洁,走向共和,2003,actor5,drama,1981,男,22
李洪涛,悬崖,2012,actor4,drama,1964,男,48
李卉,少年包青天Ⅱ,2001,actor5,drama,1983,女,18
李佳航,爱情公寓4,2014,actor5,drama,1987,男,27
李佳璘,上错花轿嫁对郎,2001,actor2,drama,1980,女,21
李建华,闲人马大姐,2000,actor2,drama,1956,男,44
李建群,康熙王朝,2001,actor5,drama,1957,女,44
李金铭,爱情公寓3,2012,actor5,drama,1985,女,27
李金铭,爱情公寓4,2014,actor3,drama,1985,女,29
李菁,屌丝男士 第一季,2012,actor5,drama,1978,男,34
李坤霖,媳妇的美好时代,2009,actor3,drama,1973,男,36
李兰迪,你好，旧时光,2017,actor1,drama,1999,女,18
李立群,春光灿烂猪八戒,2000,actor4,drama,1952,男,48
李立群,半生缘,2002,actor4,drama,1952,男,50
李萌萌,甜蜜暴击,2018,actor5,drama,1991,女,27
李明启,双面胶,2007,actor4,drama,1936,女,71
李明珠,夫妻那些事,2012,actor4,drama,1943,女,69
李念,蜗居,2009,actor2,drama,1985,女,24
李琦,东北一家人,2002,actor1,drama,1955,男,47
李绮虹,绝代双骄,1999,actor4,drama,1970,女,29
李牵,你好，旧时光,2017,actor4,drama,1994,女,23
李倩,龙门镖局,2013,actor3,drama,1984,女,29
李勤勤,天外飞仙,2006,actor3,drama,1963,女,43
李燊,结爱·千岁大人的初恋,2018,actor4,drama,1990,男,28
李天柱,红色,2014,actor4,drama,1954,男,60
李现,法医秦明,2016,actor3,drama,1991,男,25
李现,河神,2017,actor1,drama,1991,男,26
李小璐,奋斗,2007,actor4,drama,1981,女,26
李小璐,都是天使惹的祸,2001,actor1,drama,1981,女,20
李小璐,少年张三丰,2001,actor3,drama,1981,女,20
李小冉,来不及说我爱你,2010,actor2,drama,1976,女,34
李小冉,逆水寒,2004,actor3,drama,1976,女,28
李小冉,别了，温哥华,2004,actor3,drama,1976,女,28
李心洁,似水年华,2003,actor3,drama,1976,女,27
李芯逸,丑女无敌 第一季,2008,actor4,drama,1980,女,28
