actor,name,year,variable,type,BirthYear,gender,age
约翰尼·盖尔克奇,生活大爆炸  第三季 The Big Bang Theory Season 3,2009,actor1,drama,1975,男,34
约瑟夫·费因斯,使女的故事 第一季 The Handmaid's Tale Season 1,2017,actor2,drama,1970,男,47
詹姆斯·弗兰科,怪胎与书呆 Freaks and Geeks,1999,actor3,drama,1978,男,21
詹姆斯·甘多菲尼,黑道家族 第一季 The Sopranos Season 1,1999,actor1,drama,1961,男,38
詹姆斯·麦斯登,西部世界 第二季 Westworld Season 2,2018,actor3,drama,1973,男,45
詹妮弗·安妮斯顿,老友记  第六季 Friends Season 6,1999,actor1,drama,1969,女,30
詹妮弗·安妮斯顿,老友记  第九季 Friends Season 9,2002,actor1,drama,1969,女,33
詹妮弗·安妮斯顿,老友记  第八季 Friends Season 8,2001,actor1,drama,1969,女,32
詹妮弗·安妮斯顿,老友记  第七季 Friends Season 7,2000,actor1,drama,1969,女,31
詹妮弗·安妮斯顿,老友记 第十季 Friends Season 10,2003,actor1,drama,1969,女,34
詹妮弗·比尔斯,拉字至上  第一季 The L Word Season 1,2004,actor1,drama,1963,女,41
朱丽安娜· 玛格丽丝,傲骨贤妻 第一季 The Good Wife Season 1,2009,actor1,drama,1966,女,43
C·J·威尔逊,海边的曼彻斯特 Manchester by the Sea,2016,actor4,movie,NA,男,NA
阿丽西丝·索普,这个男人来自地球 The Man from Earth,2007,actor5,movie,1980,女,27
埃迪·雷德梅恩,悲惨世界 Les Misérables,2012,actor5,movie,1982,男,30
艾比·考尼什,"三块广告牌 Three Billboards Outside Ebbing, Missouri",2017,actor4,movie,1982,女,35
艾德·哈里斯,地心引力 Gravity,2013,actor3,movie,1950,男,63
艾德·哈里斯,美丽心灵 A Beautiful Mind,2001,actor2,movie,1950,男,51
艾德里安·布洛迪,超脱 Detachment,2011,actor1,movie,1973,男,38
艾德里安·布洛迪,布达佩斯大饭店 The Grand Budapest Hotel,2014,actor3,movie,1973,男,41
艾伦·里奇,模仿游戏 The Imitation Game,2014,actor5,movie,1981,男,33
艾米·亚当斯,猫鼠游戏 Catch Me If You Can,2002,actor5,movie,1974,女,28
艾米·亚当斯,她 Her,2013,actor3,movie,1974,女,39
艾瑞克·阿瓦利,忠犬八公的故事 Hachi: A Dog's Tale,2009,actor5,movie,1952,男,57
安娜·德·阿玛斯,银翼杀手2049 Blade Runner 2049,2017,actor3,movie,1988,女,29
安妮·海瑟薇,穿普拉达的女王 The Devil Wears Prada,2006,actor1,movie,1982,女,24
安妮·海瑟薇,一天 One Day,2011,actor1,movie,1982,女,29
安妮·海瑟薇,星际穿越 Interstellar,2014,actor2,movie,1982,女,32
安妮·海瑟薇,断背山 Brokeback Mountain,2005,actor4,movie,1982,女,23
安妮·海瑟薇,悲惨世界 Les Misérables,2012,actor3,movie,1982,女,30
安妮·海瑟薇,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,2012,actor3,movie,1982,女,30
